country,budget,budget,worlwide_gross_income,worlwide_gross_income,profit,profit,profit_ratio,n_movies
,max,mean,max,mean,max,mean,,
"USA, Hong Kong, Taiwan",135,135,533,533,398,398,2.95,1
Brazil,2,2,1,1,-1,-1,-0.7,1
Bhutan,2,2,0,0,-2,-2,-0.86,1
"USA, Hungary, Italy",37,37,96,96,59,59,1.6,1
"USA, Iceland",5,5,0,0,-5,-5,-0.98,1
Bangladesh,0,0,0,0,0,0,-0.84,1
"Belgium, USA, UK, Germany, Italy",28,28,3,3,-25,-25,-0.91,1
"USA, India, Belgium",28,28,9,9,-19,-19,-0.69,1
"USA, India, Canada, UK, Australia, Germany",90,90,962,962,872,872,9.69,1
"USA, India, France",35,35,15,15,-20,-20,-0.56,1
"USA, India, Hong Kong, China, UK",110,110,170,170,60,60,0.54,1
"USA, India, Ireland",7,7,31,31,24,24,3.39,1
"USA, India, Malaysia, Taiwan, Canada, UK",63,63,184,184,121,121,1.92,1
"USA, Hong Kong, Canada",60,60,197,197,137,137,2.29,1
"USA, Hong Kong, Bulgaria, Netherlands",30,30,177,177,147,147,4.89,1
"Brazil, France",3,3,6,6,3,3,1.06,1
"USA, Greece, Brazil",2,2,2,2,0,0,0.0,1
